市町名,親番号,エリア名,エリア説明文,通し番号
越前町,300039,道の駅「パークイン丹生ヶ丘」エリア,福井県の主要道路である北陸自動車道、国道8号と越前海岸を走る国道305号との重要な連絡路である国道417号沿いに位置し、福井総合植物園（プラントピア）をアピールし、長い歴史や豊富な文化財などの観光資源の情報を、一堂に集めた、休憩、憩いの場です。,39
越前町,300040,劔神社エリア,劔（つるぎ）神社は、1800年の歴史を有し、毎年多くの初詣客でにぎわう神社としても知られています。戦国武将織田信長の祖先は、当社の神官で、出身地の地名を取って「織田氏」を名乗ったとされます。本殿は県の指定文化財に、梵鐘は国宝に、また秋に奉納される太鼓「明神ばやし」は、県の無形民俗文化財にそれぞれ指定されています。,40
越前町,300041,越前陶芸村,広大な陶芸公園の各所に桜が植えられているため、見ごろの時期には公園内どこでも桜を眺めながら散策できます。４月中旬には「越前陶芸村しだれ桜まつり」、５月下旬には「越前陶芸まつり」などイベントも多く開催されます。,41
越前町,300042,越前岬エリア,越前町の最北部にあり、日本海に突き出た断崖で、海食作用によってできた岩礁が多く見られる景勝地です。近くには、玉川観音をまつった海食洞や浸食作用によってできた呼鳥門、鳥糞岩などがあり、多くの観光客が訪れます。,42
南越前町,300043,道の駅「南えちぜん山海里」,"南えちぜん山海里は、こだわりメニューでおもてなしするオープンキッチン7店舗の飲食エリアと、地元農産物や北陸のお菓子類、県内の商工会が推奨するお土産や工芸品の物販エリア、滑り台でキッズプレイルームと屋外公園を接続するキッズエリアでお客様を迎えます。
旅の一休みや観光の出発点として道の駅南えちぜん山海里に遊びにきねの！",43
南越前町,300044,北前船主の館 右近家,国道305号線沿いに、当時の栄華を偲ばせる見事なたたずまいを見せながら、「北前船主の館・右近家」があります。全盛期には約30余隻を有した右近家の繁栄ぶりは、上方風切妻造瓦葺二階建の邸宅をはじめ、贅を尽くした西洋館などに見ることができます。,44
南越前町,300045,今庄宿,町並は今もなお、昔の面影を残し、素朴な雰囲気を漂わせています。角を曲がって路地裏に足を踏み入れると、そこはもう時代劇の宿場町、タイムスリップ気分が味わえるはず。,45
敦賀市,300046,日本海さかな街,"敦賀に来たら、やっぱりさかな街！
敦賀港直行の魚介が並ぶ鮮魚店をはじめ、水産加工の店、特産品の専門店や飲食店など、約70店舗が軒を並べる、日本海最大級の魚市場。意外と知られてないのが、開店から正午まで行われている毎朝恒例の朝市。この時間を利用すれば、お得に新鮮な魚介を購入することができます。",46
敦賀市,300047,氣比神宮エリア,仲哀天皇ほか六座を祀り、「越前一の宮」「北陸道の総鎮守」とも称される古社です。佐渡ヶ島から漂着したムロで建立したと伝わる大鳥居は、木造としては、「広島・厳島神社」「奈良・春日大社」と並ぶ「日本三大木造大鳥居」のひとつで、国の重要文化財に指定されています。,47
敦賀市,300048,JR敦賀駅前エリア,福井県敦賀市にある、JR西日本北陸本線の駅です。2024年春には北陸新幹線の金沢 - 敦賀間が開業予定！,48
敦賀市,300049,金ヶ崎エリア,後醍醐天皇の皇子を守って新田義貞が足利軍と戦った地で、戦国時代には、織田信長の越前朝倉攻めの折、窮地を救った豊臣秀吉の殿（しんがり）の地として知られ、金ヶ崎城跡は国の史跡に指定されています。,49
敦賀市,300050,敦賀市立博物館,建物は昭和２年に郷土の偉人・大和田荘七が建てた旧大和田銀行本店です。国の重要文化財に指定されており、当時の敦賀港の繁栄を象徴する豪華なつくりで、北陸で最初のエレベーターや大理石のカウンター、見上げるほどの大金庫など建物そのものも見所満載です。,50
小浜市,300051,道の駅「若狭おばま」,小浜市初となる道の駅「若狭おばま」は小浜市の玄関口として、観光やイベント等の様々な地域情報を発信すると共に観光客の皆さまを市内へと案内し、地場産農林水産物や市内特産品、地場産食材を召し上がっていただき、小浜市全体の産業の振興を図ることも目的としております。,51
小浜市,300052,小浜町家ステイ,福井県小浜市の重要伝統的建造物群保存地区を中心に古くから残る古民家をリノベーションし、若狭・小浜の歴史ある町並み、一棟貸しの古民家宿「小浜町家ステイ」を展開しています。,52
小浜市,300053,若狭フィッシャーマンズワーフ,"若狭フィッシャーマンズ・ワーフでは、日本海が誇る奇岩の名勝「蘇洞門（そとも）」をめぐるクルージングを楽しめるほか、海を眺めながら食事を堪能できるレストランや、若狭の土産が手に入るお土産コーナーがあります。
また、鮮度抜群の握り寿司や刺身定食などが味わえる食事処「海幸苑」や、食事＆テイクアウトの「とれとれ寿司」（朝から営業するので朝食に利用も可能）、冬期限定で、若狭牡蠣（わかさがき）を蒸し牡蠣、焼き牡蠣で味わう牡蠣小屋も営業しています。",53
小浜市,300054,御食国若狭おばま食文化館,"御食国若狭おばま食文化館には、食にまつわる歴史・文化や伝承料理などを展示する「ミュージアム」、郷土料理などを作り味わう「キッチンスタジオ」、
若狭塗箸など伝統工芸体験ができる「若狭工房」、癒しを提供する「濱の湯」があり、若狭おばまの魅力を満喫できます。",54
小浜市,300055,福井県立若狭歴史博物館,若狭地方の豊かな歴史や民族文化をわかりやすく紹介しています。この地域のガイダンス拠点として、各地見学のための基礎情報が得られます。,55
小浜市,300056,小浜市まちの駅,"福井県内で唯一現存する明治期の芝居小屋「旭座」を移築復原。観光案内・物販、休憩施設等と併せ、小浜西組重伝建地区へのまち歩き観光拠点になります。
落語を含めた様々なイベントが定期的に実施されています。",56
小浜市,300057,明通寺,うっそうと繁った杉木立に囲まれて、ひっそりと木洩れ日を浴びながら、しかも威風堂々としてたたずむ国宝の本堂と三重塔をもつ明通寺。JR東小浜駅から５km離れた、松永川の上流、カジカの声がする幽谷にあり、藤原時代の仏像4体は、重要文化財に指定されています。,57
小浜市,300058,箸のふるさと館WAKASA,"お箸のふるさと館WAKASAは、木地、製造、販売で形成される協同組合のいわばショールーム。3000種類ものお箸が展示即売されています。
昔ながらの手法で丹念に作り上げられた逸品から、現代のモダンな食卓に応じた斬新なデザインのものまで、じつに多彩なお箸が勢ぞろい。ここならライフスタイルに合ったお気に入りがきっと見つかります。
さらに8月4日（箸の日）は全品50％引き。家族分はもちろん、おもてなし用やお土産用とまとめ買いのチャンスです！",58
美浜町,300059,レインボーライン,美浜・若狭町にかけてひろがる、11.24㎞の有料道路です。第一駐車場からリフト・ケーブルカーで上った先にある山頂公園は、名勝三方五湖・若狭湾が一望できる360°パノラマビュー！足湯やソファーテラスなどの5つのテラスからの眺望は、まさに絶景！お好きな特製ランチボックスやスイーツと一緒にお楽しみください。,59
美浜町,300060,若狭海遊バザール 千鳥苑,若狭の海が目の前に広がる、絶景の若狭海遊バザール千鳥苑が海の駅としてリニューアルしました。食事処、みやげコーナーの他、若狭地域の魅力を伝える観光案内所、あし湯も備えます。若狭湾を見ながら、季節・天候を問わずバーベキューを楽しめる「海鮮千鳥」も併設。,60
美浜町,300061,道の駅「五湖の駅」,「へしこ」をはじめとする地元特産品などのお土産を多数取り揃えています。また、名物「へしこ」のお茶漬けやおにぎりをお召し上がりいただけます。,61
若狭町,300062,熊川宿エリア,"熊川の宿は、若狭から京都を結ぶ重要な宿場で、特に天正17年以来発展を続けました。奉行所・番所・お蔵屋敷の跡が残り、情緒あふれる街道沿いには、昔ながらの用水路が流れています。豊臣時代から藩政末期におよぶ古文書・御用日記なども保存されています。熊川宿は、重要伝統的建造物群保存地区に選定され、往年の繁栄を偲ぶ町並みが保存されています。
平成２７年に熊川宿を含む鯖街道が「～御食国若狭と鯖街道～」として日本遺産に認定されました。",62
若狭町,300063,三方五湖エリア,低い山々の谷間にちりばめられた三方湖、水月湖、菅湖、久々子湖、日向湖の5つの湖がかもしだす微妙な色あいは神秘的です。全長11.2kmのレインボーライン（有料道路）からその違いがよく分かり、五湖と日本海のダイナミックな景観が楽しめます。また2005年11月にはラムサール条約湿地に登録されています。,63
おおい町,300064,うみんぴあ大飯,海のみえるフードコート、観光案内所、産地直送の野菜やおおい町の特産、加工品などが数多く並び観光相談、休憩やお食事、お土産選びに最適です。地元の食材を使った海鮮丼やジェラートが人気。,64
おおい町,300065,きのこの森,"特産品のきのこをモチーフにしたテーマパーク。シンボルのきのこタワーは高さ30ｍの展望台をシースルーエレベーターで一気に上昇、爽やかな風と自然豊かな眺望が楽しめます。
広々とした芝生広場、全長460mのビッグスライダーや人工芝のソリ用ゲレンデなど子供が大満足の遊具が充実しています。
また、きのこものしり館では世界の珍しいキノコの展示や特産のしいたけ栽培の様子が見学できます。この他、陶芸館では陶芸体験、きのこロードではキノコ観察や自然散策も楽しめます。",65
おおい町,300066,道の駅「名田庄」,道の駅グランプリ2000でデザイン賞を受賞。物産館には地元や近隣の特産品が並びます。名田庄特産の自然薯を使った、ここでしか食べられない自然薯ジェラートをぜひご賞味ください。,66
おおい町,300067,赤礁崎オートキャンプ場,美しい”若狭湾”を目の前に、潮騒の音に目覚め、星空の下で楽しいバーベキューを満喫できるキャンプ場です。ゆったりとったオートキャンプ場は80区画。別荘気分が味わえる2階建てのログハウスが10棟、ケビンが14棟、炊事場、シャワー、水洗トイレ、コインランドリーなどを完備したサニタリー棟も8ヘクタールのサイト内に4ヶ所設けています。,67
高浜町,300068,道の駅「シーサイド高浜」,"【物産コーナー】
高浜町や福井県のおみやげ品をはじめ、水産加工品などの特産品や産直野菜なども取り揃えています。
鯖のへしこ・羽二重餅・源六餅・小鯛ささ漬け・焼鯖寿司・杜仲茶・梅干し・若狭漬け・味噌・千成屋醤油・自然薯そば・産直野菜・水産加工品など様々なおみやげ品が揃います。
【レストラン】
麺とスープにこだわったラーメンを中心に、お子様からご年配のお客様まで幅広いニーズに沿ったメニューをご用意しております。
【情報コーナー＆休憩所】
24時間開放併設のトイレともに24時間ご利用いただけます。休憩施設内wi-fi使用可。
【温浴施設「湯っぷる」】
道の駅「シーサイド高浜」内にある温浴施設です。",68
高浜町,300069,青葉山ハーバルビレッジ,「薬草の宝庫」である青葉山の麓にあるハーバルビレッジは、 薬草に特化した「食」や、薬草茶づくり体験など、おいしい空気と薬草で楽しみながら健康になれる場所です。,69
高浜町,300070,UMIKARA,"漁港と隣接した立地条件を存分に生かし、毎日、水揚げされた新鮮な魚介をお客様に提供します。
魚介を使ったお惣菜、加工品などもバラエティ豊かに取り扱い、毎日のお買い物から旅行のおみやげ選びまで。
魚とともに歩みはじめるUMIKARAに、どうぞご期待ください。",70
